station_id,event_id,case_type,timestamp_utc,sat_cloud_mask_at_station,sat_cloudy_fraction_25km,sat_clear_fraction_25km,sat_valid_pixel_count_25km,sat_observation_available,sat_observation_time_utc,sat_acquisition_start_utc,sat_acquisition_end_utc,sat_age_minutes,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,precipitation,cloud_cover,nwp_cape,nwp_convective_inhibition,nwp_lifted_index,nwp_cloud_cover,nwp_precipitation,baseline_p_1h,baseline_p_2h,baseline_p_3h,baseline_alert_1h,baseline_alert_2h,baseline_alert_3h,target_1h,target_2h,target_3h,target_1h_state,target_2h_state,target_3h_state,source_filename,gId,exploratory_case_based,baseline_probability_label,sat_nwp_cloud_difference,nwp_cloud_cover_01_for_difference
VOCI,VOCI_CTL_02_20231103T08,control,2023-10-20 18:00:00+00:00,0.0,0.25,0.75,116.0,1,2023-10-20 16:15:00+00:00,2023-10-20 16:15:30+00:00,2023-10-20 16:42:23+00:00,77.61666666666666,24.6,98.8102,1012.57007,2.9024127,0.0,100.0,220.0,-55.0,-1.0,100,0.0,0.015,0.015,0.0,0,0,0,0.0,0.0,0.0,NON_TS,NON_TS,NON_TS,3RIMG_20OCT2023_1615_L2B_CMK_V01R00.h5,12474561.0,True,Frozen Phase 8D Model B probability,0.75,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 08:00:00+00:00,2.0,0.5172413793103449,0.4827586206896552,116.0,1,2023-11-03 06:15:00+00:00,2023-11-03 06:15:26+00:00,2023-11-03 06:42:20+00:00,77.66666666666667,29.75,73.70133,1006.09186,7.5685663,2.3,95.0,2350.0,-1.0,-6.1,100,0.3,0.175,0.405,0.355,1,1,1,1.0,,1.0,TS,UNAVAILABLE,TS,3RIMG_03NOV2023_0615_L2B_CMK_V01R00.h5,12551955.0,True,Frozen Phase 8D Model B probability,0.48275862068965514,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 10:00:00+00:00,2.0,0.7931034482758621,0.2068965517241379,116.0,1,2023-11-03 09:15:00+00:00,2023-11-03 09:15:26+00:00,2023-11-03 09:42:20+00:00,17.666666666666668,26.75,85.42745,1006.1825,6.8399997,6.2,100.0,3040.0,0.0,-6.9,100,2.1,0.335,0.205,0.175,1,1,1,1.0,1.0,1.0,TS,TS,TS,3RIMG_03NOV2023_0915_L2B_CMK_V01R00.h5,12552771.0,True,Frozen Phase 8D Model B probability,0.2068965517241379,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 11:00:00+00:00,2.0,0.7931034482758621,0.2068965517241379,116.0,1,2023-11-03 09:15:00+00:00,2023-11-03 09:15:26+00:00,2023-11-03 09:42:20+00:00,77.66666666666667,26.55,87.48282,1006.18225,4.896529,0.1,100.0,1820.0,-4.0,-5.4,100,1.8,0.37,0.255,0.2,1,1,1,1.0,1.0,1.0,TS,TS,TS,3RIMG_03NOV2023_0915_L2B_CMK_V01R00.h5,12552771.0,True,Frozen Phase 8D Model B probability,0.2068965517241379,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 12:00:00+00:00,1.0,1.0,0.0,116.0,1,2023-11-03 11:15:00+00:00,2023-11-03 11:15:27+00:00,2023-11-03 11:42:20+00:00,17.666666666666668,25.2,91.41122,1007.4767,7.342588,2.9,100.0,890.0,-18.0,-4.3,100,4.0,0.29,0.235,0.25,1,1,1,1.0,1.0,1.0,TS,TS,TS,3RIMG_03NOV2023_1115_L2B_CMK_V01R00.h5,12553225.0,True,Frozen Phase 8D Model B probability,0.0,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 13:00:00+00:00,1.0,1.0,0.0,116.0,1,2023-11-03 11:15:00+00:00,2023-11-03 11:15:27+00:00,2023-11-03 11:42:20+00:00,77.66666666666667,25.75,91.44487,1007.5785,5.0528407,3.6,100.0,610.0,-27.0,-2.6,100,4.6,0.28,0.2,0.18,1,1,1,1.0,1.0,1.0,TS,TS,TS,3RIMG_03NOV2023_1115_L2B_CMK_V01R00.h5,12553225.0,True,Frozen Phase 8D Model B probability,0.0,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 15:00:00+00:00,1.0,1.0,0.0,116.0,1,2023-11-03 14:15:00+00:00,2023-11-03 14:15:26+00:00,2023-11-03 14:42:20+00:00,17.666666666666668,24.8,97.05314,1009.3736,3.219938,0.0,100.0,320.0,-21.0,-2.7,100,0.9,0.275,0.165,0.065,1,1,1,1.0,1.0,1.0,TS,TS,TS,3RIMG_03NOV2023_1415_L2B_CMK_V01R00.h5,12553871.0,True,Frozen Phase 8D Model B probability,0.0,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 16:00:00+00:00,1.0,1.0,0.0,116.0,1,2023-11-03 14:15:00+00:00,2023-11-03 14:15:26+00:00,2023-11-03 14:42:20+00:00,77.66666666666667,24.6,96.17844,1009.6727,3.8773184,0.0,100.0,280.0,-11.0,-2.1,100,1.9,0.115,0.035,0.015,1,0,0,1.0,1.0,1.0,TS,TS,TS,3RIMG_03NOV2023_1415_L2B_CMK_V01R00.h5,12553871.0,True,Frozen Phase 8D Model B probability,0.0,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 17:00:00+00:00,1.0,1.0,0.0,116.0,1,2023-11-03 16:15:00+00:00,2023-11-03 16:15:27+00:00,2023-11-03 16:42:21+00:00,17.65,24.15,98.21406,1010.07117,5.815978,0.6,100.0,260.0,-10.0,-2.0,100,1.4,0.045,0.015,0.02,0,0,0,1.0,1.0,1.0,TS,TS,TS,3RIMG_03NOV2023_1615_L2B_CMK_V01R00.h5,12554279.0,True,Frozen Phase 8D Model B probability,0.0,1.0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,2023-11-03 18:00:00+00:00,1.0,1.0,0.0,116.0,1,2023-11-03 16:15:00+00:00,2023-11-03 16:15:27+00:00,2023-11-03 16:42:21+00:00,77.65,24.15,99.10353,1010.07117,4.829907,0.1,100.0,270.0,-15.0,-2.0,100,2.3,0.035,0.01,0.015,0,0,0,1.0,1.0,1.0,TS,TS,TS,3RIMG_03NOV2023_1615_L2B_CMK_V01R00.h5,12554279.0,True,Frozen Phase 8D Model B probability,0.0,1.0
