station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
VOTV,2016-01-01 00:00,76.9500,8.4667,73.40,68.00,83.21,0.00,0.00,0.00,29.85,M,1.86,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,73.40,VOTV 010000Z 00000KT 3000 HZ FEW018 23/20 Q1011 NOSIG,M
VOTV,2016-01-01 00:30,76.9500,8.4667,71.60,68.00,88.43,0.00,0.00,0.00,29.88,M,1.86,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,72.62,VOTV 010030Z 00000KT 3000 HZ FEW018 22/20 Q1012 NOSIG,M
VOTV,2016-01-01 01:00,76.9500,8.4667,73.40,68.00,83.21,0.00,0.00,0.00,29.88,M,1.86,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,73.40,VOTV 010100Z 00000KT 3000 HZ FEW018 23/20 Q1012 NOSIG,M
VOTV,2016-01-01 01:30,76.9500,8.4667,73.40,69.80,88.51,0.00,0.00,0.00,29.88,M,1.86,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,74.60,VOTV 010130Z 00000KT 3000 HZ FEW018 23/21 Q1012 NOSIG,M
VOTV,2016-01-01 02:00,76.9500,8.4667,77.00,69.80,78.48,0.00,0.00,0.00,29.91,M,1.86,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,78.09,VOTV 010200Z 00000KT 3000 HZ FEW018 25/21 Q1013 NOSIG,M
VOTV,2016-01-01 03:00,76.9500,8.4667,84.20,66.20,54.80,20.00,4.00,0.00,29.94,M,2.49,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,86.50,VOTV 010300Z 02004KT 4000 HZ FEW018 29/19 Q1014 NOSIG,M
VOTV,2016-01-01 03:30,76.9500,8.4667,84.20,66.20,54.80,10.00,3.00,0.00,29.94,M,2.49,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,86.50,VOTV 010330Z 01003KT 4000 HZ FEW018 29/19 Q1014 NOSIG,M
VOTV,2016-01-01 04:30,76.9500,8.4667,87.80,69.80,55.29,60.00,3.00,0.00,29.94,M,3.11,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,92.71,VOTV 010430Z 06003KT 5000 HZ FEW018 31/21 Q1014 NOSIG,M
VOTV,2016-01-01 05:00,76.9500,8.4667,89.60,69.80,52.23,220.00,2.00,0.00,29.94,M,3.11,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,94.85,VOTV 010500Z 22002KT 5000 HZ FEW018 32/21 Q1014 NOSIG,M
VOTV,2016-01-01 05:30,76.9500,8.4667,89.60,68.00,49.10,220.00,3.00,0.00,29.94,M,3.11,M,FEW,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,93.47,VOTV 010530Z 22003KT 5000 HZ FEW018 32/20 Q1014 BECMG 6000,M
