station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
VOTV,2019-01-01 00:00,76.9500,8.4667,78.80,71.60,78.62,40.00,5.00,0.00,29.94,M,1.86,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,81.70,VOTV 010000Z 04005KT 3000 HZ FEW015 26/22 Q1014 NOSIG,M
VOTV,2019-01-01 00:30,76.9500,8.4667,77.00,71.60,83.44,350.00,3.00,0.00,29.94,M,1.86,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,78.32,VOTV 010030Z 35003KT 3000 HZ FEW015 25/22 Q1014 NOSIG,M
VOTV,2019-01-01 01:00,76.9500,8.4667,77.00,69.80,78.48,360.00,4.00,0.00,29.94,M,1.86,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,78.09,VOTV 010100Z 36004KT 3000 HZ FEW015 25/21 Q1014 NOSIG,M
VOTV,2019-01-01 01:30,76.9500,8.4667,77.00,69.80,78.48,M,3.00,0.00,29.97,M,1.86,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,78.09,VOTV 010130Z VRB03KT 3000 HZ FEW015 25/21 Q1015 BECMG 4000 HZ,M
VOTV,2019-01-01 02:00,76.9500,8.4667,78.80,69.80,73.95,M,2.00,0.00,29.97,M,2.49,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,81.39,VOTV 010200Z VRB02KT 4000 HZ FEW015 26/21 Q1015 NOSIG,M
VOTV,2019-01-01 02:30,76.9500,8.4667,80.60,73.40,78.76,40.00,4.00,0.00,29.97,M,2.49,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,85.32,VOTV 010230Z 04004KT 4000 HZ FEW015 27/23 Q1015 NOSIG,M
VOTV,2019-01-01 03:00,76.9500,8.4667,82.40,68.00,61.81,40.00,4.00,0.00,30.00,M,3.11,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,85.38,VOTV 010300Z 04004KT 5000 HZ FEW015 28/20 Q1016 NOSIG,M
VOTV,2019-01-01 03:30,76.9500,8.4667,84.20,69.80,62.03,90.00,6.00,0.00,30.00,M,3.11,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,88.43,VOTV 010330Z 09006KT 5000 HZ FEW015 29/21 Q1016 NOSIG,M
VOTV,2019-01-01 04:00,76.9500,8.4667,84.20,69.80,62.03,30.00,6.00,0.00,30.00,M,3.73,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,88.43,VOTV 010400Z 03006KT 6000 FEW015 29/21 Q1016 NOSIG,M
VOTV,2019-01-01 04:30,76.9500,8.4667,86.00,71.60,62.25,50.00,7.00,0.00,29.97,M,3.73,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,91.92,VOTV 010430Z 05007KT 6000 FEW015 30/22 Q1015 NOSIG,M
