lead,n_train,n_validation,n_test,threshold_B,threshold_C,B_pr_auc,C_pr_auc,delta_C_minus_B_pr_auc,B_roc_auc,C_roc_auc,delta_C_minus_B_roc_auc,B_precision,C_precision,delta_C_minus_B_precision,B_recall,C_recall,delta_C_minus_B_recall,B_f1,C_f1,delta_C_minus_B_f1,B_f2,C_f2,delta_C_minus_B_f2,B_predicted_alert_rate,C_predicted_alert_rate,delta_C_minus_B_predicted_alert_rate
target_1h,46501,69273,73694,0.065,0.065,0.14446885020431388,0.14708604863508967,0.002617198430775791,0.8510302249335585,0.8474826391168748,-0.003547585816683685,0.11004555262526972,0.1124178765512207,0.002372323925950978,0.6339779005524862,0.638121546961326,0.004143646408839796,0.18753830439223698,0.19115923039790358,0.0036209260056666026,0.32474883260223575,0.32973307322643575,0.004984240624199998,0.16979672700626916,0.16729991586832035,-0.0024968111379488067
target_2h,46500,69275,73689,0.065,0.065,0.13677056007899618,0.13872980199883422,0.0019592419198380395,0.8442637085270019,0.8431372812208027,-0.0011264273061992736,0.10744064162630032,0.10697600760155199,-0.0004646340247483338,0.6229281767955801,0.6220073664825047,-0.0009208103130754486,0.18327124957670166,0.1825552327545436,-0.0007160168221580498,0.3178891969362342,0.3168832387296524,-0.0010059582065817807,0.1708938918970267,0.17138243157051936,0.0004885396734926606
target_3h,46499,69277,73684,0.065,0.07,0.13168203945689588,0.13257209731353684,0.0008900578566409523,0.8371870439856635,0.8380272067823309,0.0008401627966674319,0.10294002963425096,0.10828296586362475,0.00534293622937379,0.6077348066298343,0.585635359116022,-0.02209944751381221,0.1760586862287429,0.18277175084416983,0.0067130646154269225,0.306819766631026,0.31123073158796183,0.004410964956935826,0.17402692579121654,0.15942402692579122,-0.014602898865425318
