gId,filename,catalog_timestamp_utc,station,event_id,case_type,status,on_disk,size_bytes,opens,has_CMK,has_Latitude,has_Longitude,has_time,time_utc_decoded,time_vs_catalog_minutes,satellite_name,sensor_name,manifest_match,error
5091595,3RIMG_20JUN2017_0245_L2B_CMK_V01R00.h5,2017-06-20T02:45:00Z,VECC,VECC_TS_01_20170619T10,thunderstorm_episode,OK,True,9512015,True,True,True,True,True,2017-06-20T02:45:00Z,0.0,INSAT-3DR,IMAGER,True,
6345958,3RIMG_30JUL2018_1714_L2B_CMK_V01R00.h5,2018-07-30T17:14:00Z,VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,OK,True,9564009,True,True,True,True,True,2018-07-30T17:14:00Z,0.0,INSAT-3DR,IMAGER,True,
6346319,3RIMG_30JUL2018_2144_L2B_CMK_V01R00.h5,2018-07-30T21:44:00Z,VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,OK,True,9569121,True,True,True,True,True,2018-07-30T21:44:00Z,0.0,INSAT-3DR,IMAGER,True,
6346578,3RIMG_31JUL2018_0044_L2B_CMK_V01R00.h5,2018-07-31T00:44:00Z,VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,OK,True,9522578,True,True,True,True,True,2018-07-31T00:44:00Z,0.0,INSAT-3DR,IMAGER,True,
6347021,3RIMG_31JUL2018_0514_L2B_CMK_V01R00.h5,2018-07-31T05:14:00Z,VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,OK,True,9518899,True,True,True,True,True,2018-07-31T05:14:00Z,0.0,INSAT-3DR,IMAGER,True,
6347347,3RIMG_31JUL2018_0814_L2B_CMK_V01R00.h5,2018-07-31T08:14:00Z,VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,OK,True,9574897,True,True,True,True,True,2018-07-31T08:14:00Z,0.0,INSAT-3DR,IMAGER,True,
6347669,3RIMG_31JUL2018_1144_L2B_CMK_V01R00.h5,2018-07-31T11:44:00Z,VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,OK,True,9530731,True,True,True,True,True,2018-07-31T11:44:00Z,0.0,INSAT-3DR,IMAGER,True,
6381693,3RIMG_13AUG2018_1715_L2B_CMK_V01R00.h5,2018-08-13T17:15:00Z,VOTV,VOTV_CTL_02_20180730T19,control,OK,True,9581820,True,True,True,True,True,2018-08-13T17:15:00Z,0.0,INSAT-3DR,IMAGER,True,
6381859,3RIMG_13AUG2018_2145_L2B_CMK_V01R00.h5,2018-08-13T21:45:00Z,VOTV,VOTV_CTL_02_20180730T19,control,OK,True,9585597,True,True,True,True,True,2018-08-13T21:45:00Z,0.0,INSAT-3DR,IMAGER,True,
6382194,3RIMG_14AUG2018_0145_L2B_CMK_V01R00.h5,2018-08-14T01:45:00Z,VOTV,VOTV_CTL_02_20180730T19,control,OK,True,9564707,True,True,True,True,True,2018-08-14T01:45:00Z,0.0,INSAT-3DR,IMAGER,True,
