station,event_id,case_type,event_start_utc,event_end_utc,satellite_window_start_utc,satellite_window_end_utc,catalog_timestamp_utc,filename,gId,availability_status
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T13:45:00Z,3RIMG_13APR2018_1345_L2B_CMK_V01R00.h5,6034430,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T14:15:00Z,3RIMG_13APR2018_1415_L2B_CMK_V01R00.h5,6034486,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T14:45:00Z,3RIMG_13APR2018_1445_L2B_CMK_V01R00.h5,6034602,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T15:15:00Z,3RIMG_13APR2018_1515_L2B_CMK_V01R00.h5,6034640,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T15:45:00Z,3RIMG_13APR2018_1545_L2B_CMK_V01R00.h5,6034679,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T16:15:00Z,3RIMG_13APR2018_1615_L2B_CMK_V01R00.h5,6034749,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T16:45:00Z,3RIMG_13APR2018_1645_L2B_CMK_V01R00.h5,6034787,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T17:15:00Z,3RIMG_13APR2018_1715_L2B_CMK_V01R00.h5,6034825,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T22:15:00Z,3RIMG_13APR2018_2215_L2B_CMK_V01R00.h5,6034967,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T22:45:00Z,3RIMG_13APR2018_2245_L2B_CMK_V01R00.h5,6034996,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T23:15:00Z,3RIMG_13APR2018_2315_L2B_CMK_V01R00.h5,6035027,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T23:45:00Z,3RIMG_13APR2018_2345_L2B_CMK_V01R00.h5,6035101,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T17:14:00Z,3RIMG_30JUL2018_1714_L2B_CMK_V01R00.h5,6345958,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T17:44:00Z,3RIMG_30JUL2018_1744_L2B_CMK_V01R00.h5,6345999,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T18:14:00Z,3RIMG_30JUL2018_1814_L2B_CMK_V01R00.h5,6346046,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T18:44:00Z,3RIMG_30JUL2018_1844_L2B_CMK_V01R00.h5,6346084,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T19:14:00Z,3RIMG_30JUL2018_1914_L2B_CMK_V01R00.h5,6346130,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T19:44:00Z,3RIMG_30JUL2018_1944_L2B_CMK_V01R00.h5,6346173,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T20:14:00Z,3RIMG_30JUL2018_2014_L2B_CMK_V01R00.h5,6346203,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T20:44:00Z,3RIMG_30JUL2018_2044_L2B_CMK_V01R00.h5,6346247,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T21:44:00Z,3RIMG_30JUL2018_2144_L2B_CMK_V01R00.h5,6346319,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T22:14:00Z,3RIMG_30JUL2018_2214_L2B_CMK_V01R00.h5,6346357,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T22:44:00Z,3RIMG_30JUL2018_2244_L2B_CMK_V01R00.h5,6346413,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T23:14:00Z,3RIMG_30JUL2018_2314_L2B_CMK_V01R00.h5,6346448,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-30T23:44:00Z,3RIMG_30JUL2018_2344_L2B_CMK_V01R00.h5,6346493,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T00:14:00Z,3RIMG_31JUL2018_0014_L2B_CMK_V01R00.h5,6346539,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T00:44:00Z,3RIMG_31JUL2018_0044_L2B_CMK_V01R00.h5,6346578,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T01:14:00Z,3RIMG_31JUL2018_0114_L2B_CMK_V01R00.h5,6346617,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T01:44:00Z,3RIMG_31JUL2018_0144_L2B_CMK_V01R00.h5,6346668,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T02:14:00Z,3RIMG_31JUL2018_0214_L2B_CMK_V01R00.h5,6346713,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T02:44:00Z,3RIMG_31JUL2018_0244_L2B_CMK_V01R00.h5,6346756,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T04:14:00Z,3RIMG_31JUL2018_0414_L2B_CMK_V01R00.h5,6346896,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T04:44:00Z,3RIMG_31JUL2018_0444_L2B_CMK_V01R00.h5,6346949,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T05:14:00Z,3RIMG_31JUL2018_0514_L2B_CMK_V01R00.h5,6347021,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T05:44:00Z,3RIMG_31JUL2018_0544_L2B_CMK_V01R00.h5,6347082,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T06:14:00Z,3RIMG_31JUL2018_0614_L2B_CMK_V01R00.h5,6347134,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T06:44:00Z,3RIMG_31JUL2018_0644_L2B_CMK_V01R00.h5,6347196,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T07:14:00Z,3RIMG_31JUL2018_0714_L2B_CMK_V01R00.h5,6347239,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T07:44:00Z,3RIMG_31JUL2018_0744_L2B_CMK_V01R00.h5,6347295,AVAILABLE
