lead,phase8d_n,phase15b_n,phase8d_PR-AUC,phase15b_PR-AUC,phase8d_ROC-AUC,phase15b_ROC-AUC,phase8d_precision,phase15b_precision,phase8d_recall,phase15b_recall,phase8d_F1,phase15b_F1,phase8d_F2,phase15b_F2,phase8d_alert_rate,phase15b_alert_rate,phase8d_threshold,phase15b_threshold,methodological_note
1h,73694,31949,0.14446885020431388,0.477623002193297,0.8510302249335585,0.9114976017802001,0.11004555262526972,0.16364492582999765,0.6339779005524862,0.7346723044397463,0.18753830439223698,0.2676680146350857,0.3247488326022357,0.4326982941103225,0.16979672700626916,0.1329306081567498,0.065,0.065,Phase 8D = time-split test on stored 83-feature complete cases. Phase 15B = 6-hourly historical replay rebuilding features from causal T-24..T history. Not interchangeable benchmarks; no improvement claim.
2h,73689,31876,0.13677056007899618,0.4721010073287626,0.8442637085270019,0.914031618474719,0.10744064162630032,0.16854741896758704,0.6229281767955801,0.7244582043343654,0.18327124957670166,0.27347097779509155,0.31788919693623413,0.43651287153339136,0.1708938918970267,0.13066256744886434,0.065,0.065,Phase 8D = time-split test on stored 83-feature complete cases. Phase 15B = 6-hourly historical replay rebuilding features from causal T-24..T history. Not interchangeable benchmarks; no improvement claim.
3h,73684,31581,0.13168203945689588,0.49595779581715965,0.8371870439856635,0.9093293697053735,0.10294002963425096,0.15812356979405034,0.6077348066298343,0.7258403361344538,0.1760586862287429,0.25967681322810976,0.30681976663102595,0.42247493274639275,0.17402692579121654,0.13837433900129825,0.065,0.065,Phase 8D = time-split test on stored 83-feature complete cases. Phase 15B = 6-hourly historical replay rebuilding features from causal T-24..T history. Not interchangeable benchmarks; no improvement claim.
