station_id,lead,valid_sample_count,positive_count,positive_rate,alert_count,alert_rate,TP,FP,FN,TN,precision,recall,F1,threshold
VOTV,1h,5561,214,0.03848228735838878,868,0.15608703470598814,178,690,36,4657,0.20506912442396313,0.8317757009345794,0.32902033271719044,0.065
VOTV,2h,5565,231,0.04150943396226415,852,0.15309973045822103,189,663,42,4671,0.22183098591549297,0.8181818181818182,0.3490304709141275,0.065
VOTV,3h,5350,250,0.04672897196261682,865,0.1616822429906542,206,659,44,4441,0.23815028901734103,0.824,0.36950672645739907,0.065
VECC,1h,6776,283,0.04176505312868949,1470,0.21694214876033058,222,1248,61,5245,0.1510204081632653,0.784452296819788,0.253280091272105,0.065
VECC,2h,6770,299,0.04416543574593796,1452,0.21447562776957163,241,1211,58,5260,0.1659779614325069,0.8060200668896321,0.2752712735579669,0.065
VECC,3h,6757,260,0.03847861476986828,1526,0.22583986976468848,207,1319,53,5178,0.13564875491480996,0.7961538461538461,0.23180291153415453,0.065
VIDP,1h,6674,161,0.02412346418939167,463,0.06937368894216361,83,380,78,6133,0.17926565874730022,0.515527950310559,0.266025641025641,0.065
VIDP,2h,6663,170,0.0255140327179949,501,0.07519135524538496,76,425,94,6068,0.15169660678642716,0.4470588235294118,0.2265275707898659,0.065
VIDP,3h,6647,165,0.024823228524146233,501,0.0753723484278622,73,428,92,6054,0.14570858283433133,0.44242424242424244,0.2192192192192192,0.065
VOCI,1h,6237,168,0.026936026936026935,764,0.12249478916145583,119,645,49,5424,0.15575916230366493,0.7083333333333334,0.2553648068669528,0.065
VOCI,2h,6184,151,0.024417852522639068,676,0.1093143596377749,104,572,47,5461,0.15384615384615385,0.6887417218543046,0.25151148730350664,0.065
VOCI,3h,6151,146,0.02373597788977402,779,0.12664607380913673,105,674,41,5331,0.13478818998716302,0.7191780821917808,0.227027027027027,0.065
VABB,1h,6701,120,0.01790777495896135,682,0.101775854350097,93,589,27,5992,0.13636363636363635,0.775,0.23192019950124687,0.065
VABB,2h,6694,118,0.017627726322079474,684,0.10218105766357932,92,592,26,5984,0.13450292397660818,0.7796610169491526,0.22942643391521197,0.065
VABB,3h,6676,131,0.01962252846015578,699,0.10470341521869383,100,599,31,5946,0.1430615164520744,0.7633587786259542,0.24096385542168675,0.065
