pattern,count,percentage
000,27332,80.08203926164664
001,1148,3.3636097275124524
010,349,1.0225607969528274
011,727,2.1300908291825373
100,718,2.1037210665104014
101,286,0.8379724582478758
110,573,1.678874890125989
111,2997,8.781130969821271
N_comparable,34130,100.0
alert_freq_1h,4574,13.401699384705537
alert_freq_2h,4646,13.612657486082625
alert_freq_3h,5158,15.112803984764136
transition_1h_ne_2h,2080,6.094345150893641
transition_2h_ne_3h,2356,6.903017872839144
