feature,impurity_importance
precipitation_roll_sum_6h,0.05471231714835251
precipitation_roll_sum_3h,0.053461243243617805
precipitation_roll_sum_12h,0.052894822691929085
precipitation_roll_sum_24h,0.04250558933956507
precipitation,0.023405617736945737
cloud_cover,0.02166492910219935
temperature_lag_3h,0.020736842183814615
temperature_roll_mean_6h,0.019633162403082584
cloud_cover_lag_3h,0.018599715512059155
cloud_cover_roll_mean_6h,0.017991395031687042
cloud_cover_roll_mean_3h,0.017803984329154046
temperature_lag_24h,0.01687494216708331
temperature_roll_mean_3h,0.01644710164083425
cloud_cover_lag_1h,0.015916562605367317
wind_u_10m,0.015828715052907515
temperature_lag_1h,0.015134048155323754
humidity_lag_12h,0.014953319874278927
month_cos,0.014636887800444224
temperature_lag_6h,0.014403621679984269
precipitation_lag_1h,0.01413329948371601
wind_v_10m,0.013160206731600876
wind_direction_cos,0.012960614340797585
wind_speed_lag_24h,0.012926190437561554
temperature_lag_12h,0.012760342238393826
pressure_lag_24h,0.012665135745164495
wind_speed_roll_mean_6h,0.012571081422236395
wind_speed_lag_12h,0.012517135562263313
wind_speed_lag_6h,0.012507974917189269
temperature_2m,0.012182460543641423
wind_direction_sin,0.012047809663149573
humidity_lag_24h,0.011952862577807224
pressure_lag_6h,0.011646448128843244
wind_speed_roll_mean_3h,0.011457530208684891
cloud_cover_lag_24h,0.011377618411785908
pressure_lag_12h,0.011168786871287308
humidity_lag_6h,0.011111387467477076
humidity_roll_mean_6h,0.010817683282961925
pressure_change_3h,0.010722946410745131
cloud_cover_lag_6h,0.010709409556433607
relative_humidity_2m,0.010565482817917636
longitude,0.010496274700889215
humidity_lag_3h,0.010411657929277294
wind_speed_lag_3h,0.010383378138528172
precipitation_change_3h,0.010200780086796151
cloud_cover_lag_12h,0.01016409786583484
pressure_roll_mean_6h,0.010117829626338034
pressure_lag_3h,0.01008607293457098
surface_pressure,0.010058580806275776
pressure_lag_1h,0.009973129643900973
humidity_change_3h,0.009912226729762162
humidity_roll_mean_3h,0.00988131458060935
pressure_change_1h,0.009815507980807768
wind_speed_lag_1h,0.009772775178599626
pressure_roll_mean_3h,0.009690582574462567
temperature_change_3h,0.009633307231119088
wind_speed_change_3h,0.009480072619830965
humidity_lag_1h,0.009440695463332868
wind_speed_10m,0.009394141290727388
wind_speed_change_1h,0.009123233442454286
humidity_change_1h,0.009023211643961162
month_sin,0.008818882942216145
hour_cos,0.00851774790193816
cloud_cover_change_3h,0.008384097104063204
precipitation_lag_3h,0.008206663471250077
temperature_change_1h,0.008152052707793286
cloud_cover_change_1h,0.007288030888390496
precipitation_change_1h,0.006350073328633284
precipitation_lag_24h,0.005927816787088266
latitude,0.005307627422852746
hour_sin,0.00521698798704385
precipitation_lag_6h,0.005058304665017202
precipitation_lag_12h,0.004646076869769753
elevation_m,0.0014995429375761116
