feature,impurity_importance
precipitation_roll_sum_3h,0.04844342460953111
precipitation_roll_sum_24h,0.04769569669354841
precipitation_roll_sum_6h,0.04625208059949221
precipitation_roll_sum_12h,0.04613831168288339
precipitation,0.02275593409693351
temperature_lag_24h,0.02089406191525028
temperature_roll_mean_3h,0.020247930924588483
cloud_cover,0.02007929060297931
temperature_roll_mean_6h,0.01993792517854573
cloud_cover_roll_mean_3h,0.018872348280282347
cloud_cover_roll_mean_6h,0.018614188478906606
cloud_cover_lag_3h,0.017519492947404694
temperature_lag_3h,0.017462030719284368
temperature_lag_1h,0.01710869574411822
wind_u_10m,0.016769203839923405
cloud_cover_lag_1h,0.016612355900808867
humidity_lag_12h,0.0165709468199415
temperature_2m,0.01620240079164219
month_cos,0.014332651388578848
wind_v_10m,0.014070504362905429
wind_direction_cos,0.01376071685657951
temperature_lag_12h,0.01312671886758401
wind_speed_lag_24h,0.01301381638940548
wind_speed_roll_mean_6h,0.012741111351122065
wind_speed_lag_12h,0.012722662256875395
pressure_lag_6h,0.012695716848873065
cloud_cover_lag_24h,0.012629533935838919
humidity_lag_24h,0.012628141377695785
temperature_lag_6h,0.012624073239119455
pressure_lag_24h,0.012599645612817609
wind_speed_lag_6h,0.011962108998846296
wind_direction_sin,0.011889452627898851
pressure_lag_12h,0.011604219817266852
precipitation_lag_1h,0.011473416968372093
wind_speed_roll_mean_3h,0.011430816173157164
humidity_lag_6h,0.011404281714203544
wind_speed_lag_3h,0.011094464797144892
relative_humidity_2m,0.011091647259045514
humidity_roll_mean_6h,0.011049545021749641
pressure_change_3h,0.010896732533897151
pressure_roll_mean_6h,0.010586792734476134
humidity_roll_mean_3h,0.010531603185549339
cloud_cover_lag_12h,0.010306141494761993
surface_pressure,0.010290920143683905
humidity_lag_3h,0.010249858051666103
wind_speed_lag_1h,0.010237614414372244
pressure_lag_1h,0.010160954594862501
pressure_change_1h,0.010094713194595433
pressure_lag_3h,0.010075565811969561
humidity_lag_1h,0.010057751300449886
cloud_cover_lag_6h,0.00999245341697022
pressure_roll_mean_3h,0.009932913640314763
wind_speed_10m,0.009913489098911304
humidity_change_3h,0.009710270009747241
longitude,0.00967821502117447
precipitation_change_3h,0.00967011386617214
wind_speed_change_3h,0.00954077390929607
wind_speed_change_1h,0.009148377014080803
humidity_change_1h,0.009035501668851992
temperature_change_3h,0.008956359248931352
cloud_cover_change_3h,0.008653958503544003
month_sin,0.008577089418026063
temperature_change_1h,0.007739996467792012
cloud_cover_change_1h,0.007676556874887499
hour_cos,0.007029187278352853
precipitation_lag_3h,0.00700838074401142
precipitation_lag_24h,0.006752092840425347
precipitation_change_1h,0.00672263429437442
hour_sin,0.005825565167556179
latitude,0.005646159935715175
precipitation_lag_6h,0.0051812382861371135
precipitation_lag_12h,0.004569165122969996
elevation_m,0.0014292950203283444
