feature,feature_group,rf_impurity_importance,rf_impurity_rank,permutation_importance_mean,permutation_importance_std,permutation_importance_rank,rf_impurity_share_percent
precipitation_roll_sum_6h,historical_rolling,0.09879639143,1,0.02696148684,0.003590757156,4,9.879639143
precipitation_roll_sum_3h,historical_rolling,0.07689519121,2,0.03076264329,0.004952934987,3,7.689519121
wind_speed_roll_mean_3h,historical_rolling,0.0542102812,3,0.01194685049,0.008248545886,9,5.42102812
month_sin,cyclic_time,0.04771585689,4,0.03152531245,0.005152652508,2,4.771585689
wind_direction_cos,wind_direction_cyclic,0.04529844805,5,-0.002691599412,0.00442754899,25,4.529844805
temperature_roll_mean_3h,historical_rolling,0.0441059161,6,0.03681912143,0.01399004762,1,4.41059161
wind_speed_10m,current_atmospheric,0.04310646181,7,0.001230444421,0.005496627847,18,4.310646181
month_cos,cyclic_time,0.04236535501,8,0.01247540133,0.001681953869,7,4.236535501
precipitation,current_atmospheric,0.04187461459,9,0.009750039052,0.001811069672,10,4.187461459
cloud_cover,current_atmospheric,0.03860800865,10,0.01703124549,0.007735357245,5,3.860800865
humidity_roll_mean_3h,historical_rolling,0.03133922771,11,0.000861987372,0.00501503228,19,3.133922771
temperature_2m,current_atmospheric,0.03080017726,12,0.01214761617,0.00557194389,8,3.080017726
wind_direction_sin,wind_direction_cyclic,0.03001470561,13,-0.005092121347,0.006817726577,28,3.001470561
relative_humidity_2m,current_atmospheric,0.0299644427,14,0.00913237411,0.003961543674,11,2.99644427
pressure_roll_mean_3h,historical_rolling,0.02992159384,15,0.002666683904,0.005707920016,15,2.992159384
hour_cos,cyclic_time,0.02959501115,16,0.01660516464,0.008965346824,6,2.959501115
precipitation_change_3h,temporal_change,0.02942832522,17,-0.002123123548,0.001444748367,23,2.942832522
surface_pressure,current_atmospheric,0.02900915379,18,0.004469377847,0.003784646987,12,2.900915379
pressure_change_3h,temporal_change,0.02751074803,19,-0.000601551573,0.006742054308,20,2.751074803
temperature_change_3h,temporal_change,0.02625334926,20,0.00388250838,0.005055167478,13,2.625334926
wind_speed_change_3h,temporal_change,0.02599437836,21,0.001834958292,0.003291320312,16,2.599437836
humidity_change_3h,temporal_change,0.02596722507,22,0.002879960956,0.005448335858,14,2.596722507
pressure_change_1h,temporal_change,0.02531713534,23,-0.0006311655856,0.004376289923,21,2.531713534
humidity_change_1h,temporal_change,0.02236864677,24,-0.004103434345,0.001264530089,27,2.236864677
wind_speed_change_1h,temporal_change,0.02226261238,25,0.001761216241,0.002831025219,17,2.226261238
temperature_change_1h,temporal_change,0.01901633526,26,-0.001730558041,0.002691279983,22,1.901633526
precipitation_change_1h,temporal_change,0.01724313575,27,-0.00342618638,0.000591998609,26,1.724313575
hour_sin,cyclic_time,0.01501727155,28,-0.002628209251,0.006078806298,24,1.501727155
