feature,feature_group,rf_impurity_importance,rf_impurity_rank,permutation_importance_mean,permutation_importance_std,permutation_importance_rank,rf_impurity_share_percent
precipitation_roll_sum_6h,historical_rolling,0.08227466484,1,0.01704332542,0.004431491587,4,8.227466484
precipitation_roll_sum_3h,historical_rolling,0.0742611754,2,0.01817375326,0.003121300348,1,7.42611754
wind_speed_roll_mean_3h,historical_rolling,0.05931956052,3,0.005903439251,0.001798989426,9,5.931956052
wind_direction_cos,wind_direction_cyclic,0.05072774744,4,-0.002520134289,0.002797009108,26,5.072774744
temperature_roll_mean_3h,historical_rolling,0.04773032598,5,0.01783179696,0.002784297469,2,4.773032598
wind_speed_10m,current_atmospheric,0.04461481452,6,0.005105175187,0.002941500629,11,4.461481452
month_sin,cyclic_time,0.04437513096,7,0.01705461089,0.002900631597,3,4.437513096
month_cos,cyclic_time,0.04226194722,8,0.00826171848,0.00179051688,7,4.226194722
precipitation,current_atmospheric,0.03843935515,9,0.003381281912,0.003526924912,13,3.843935515
cloud_cover,current_atmospheric,0.03832562566,10,0.008678433132,0.003594377454,6,3.832562566
temperature_2m,current_atmospheric,0.03629234211,11,0.005454776747,0.003547877793,10,3.629234211
humidity_roll_mean_3h,historical_rolling,0.03330581438,12,0.0008172088856,0.002104094292,19,3.330581438
precipitation_change_3h,temporal_change,0.03095266835,13,-0.00304530886,0.001442353318,27,3.095266835
wind_direction_sin,wind_direction_cyclic,0.03075986171,14,0.007844588244,0.001965970052,8,3.075986171
relative_humidity_2m,current_atmospheric,0.03051961777,15,0.001922765134,0.001373261925,16,3.051961777
pressure_roll_mean_3h,historical_rolling,0.03042962777,16,0.001504384546,0.003434858932,17,3.042962777
surface_pressure,current_atmospheric,0.02969530774,17,0.0006773576408,0.003293387092,21,2.969530774
wind_speed_change_3h,temporal_change,0.02836048607,18,-0.000239942603,0.001000969999,23,2.836048607
pressure_change_3h,temporal_change,0.02680760485,19,0.0008775718239,0.003087634507,18,2.680760485
temperature_change_3h,temporal_change,0.02617899634,20,0.002456307201,0.001785354728,14,2.617899634
humidity_change_3h,temporal_change,0.0257878081,21,0.002192947911,0.001063198363,15,2.57878081
pressure_change_1h,temporal_change,0.02530616538,22,0.0007320744161,0.002422273104,20,2.530616538
wind_speed_change_1h,temporal_change,0.02310003181,23,-0.002071662942,0.001238354362,25,2.310003181
humidity_change_1h,temporal_change,0.02274129899,24,-0.0001301855502,0.001891080406,22,2.274129899
hour_cos,cyclic_time,0.02066080753,25,0.01136809817,0.004049083469,5,2.066080753
hour_sin,cyclic_time,0.02012287421,26,0.004330423677,0.004628083807,12,2.012287421
temperature_change_1h,temporal_change,0.0197275946,27,-0.000728616362,0.002016483124,24,1.97275946
precipitation_change_1h,temporal_change,0.01692074458,28,-0.004787492824,0.0009364987091,28,1.692074458
